PID,B(Lat),L(Long),H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
1,0,0,0.724,-1103.823,1923.896,0,0,0,0
2,0,0,0.716,-1103.568,1923.927,0,0,0,0
3,0,0,0.736,-1102.933,1923.884,0,0,0,0
4,0,0,0.733,-1102.612,1923.881,0,0,0,0
5,0,0,0.726,-1101.592,1923.92,0,0,0,0
6,0,0,0.72,-1100.573,1923.959,0,0,0,0
7,0,0,0.714,-1099.554,1923.998,0,0,0,0
8,0,0,0.707,-1098.535,1924.037,0,0,0,0
9,0,0,0.701,-1097.516,1924.077,0,0,0,0
10,0,0,0.695,-1096.497,1924.116,0,0,0,0
11,0,0,0.689,-1095.478,1924.155,0,0,0,0
12,0,0,0.682,-1094.459,1924.194,0,0,0,0
13,0,0,0.676,-1093.44,1924.233,0,0,0,0
14,0,0,0.67,-1092.421,1924.273,0,0,0,0
15,0,0,0.663,-1091.402,1924.312,0,0,0,0
16,0,0,0.657,-1090.383,1924.351,0,0,0,0
17,0,0,0.651,-1089.364,1924.39,0,0,0,0
18,0,0,0.645,-1088.345,1924.43,0,0,0,0
19,0,0,0.638,-1087.326,1924.469,0,0,0,0
20,0,0,0.632,-1086.307,1924.508,0,0,0,0
21,0,0,0.626,-1085.288,1924.547,0,0,0,0
22,0,0,0.619,-1084.269,1924.586,0,0,0,0
23,0,0,0.613,-1083.25,1924.626,0,0,0,0
24,0,0,0.607,-1082.231,1924.665,0,0,0,0
25,0,0,0.601,-1081.212,1924.704,0,0,0,0
26,0,0,0.594,-1080.193,1924.743,0,0,0,0
27,0,0,0.588,-1079.174,1924.782,0,0,0,0
28,0,0,0.582,-1078.155,1924.822,0,0,0,0
29,0,0,0.575,-1077.136,1924.861,0,0,0,0
30,0,0,0.569,-1076.117,1924.9,0,0,0,0
31,0,0,0.563,-1075.098,1924.939,0,0,0,0
32,0,0,0.557,-1074.079,1924.979,0,0,0,0
33,0,0,0.545,-1073.541,1924.976,0,0,0,0
34,0,0,0.546,-1073.094,1925.005,0,0,0,0
35,0,0,0.539,-1072.654,1925.029,0,0,0,0
36,0,0,0.533,-1072.113,1925.02,0,0,0,0
37,0,0,0.517,-1071.578,1925.029,0,0,0,0
38,0,0,0.517,-1071.154,1925.055,0,0,0,0
39,0,0,0.511,-1070.761,1925.068,0,0,0,0
40,0,0,0.505,-1070.203,1925.061,0,0,0,0
41,0,0,0.502,-1069.794,1925.072,0,0,0,0
42,0,0,0.493,-1069.313,1925.113,0,0,0,0
43,0,0,0.492,-1068.856,1925.116,0,0,0,0
44,0,0,0.493,-1068.221,1925.126,0,0,0,0
45,0,0,0.478,-1067.741,1925.152,0,0,0,0
46,0,0,0.469,-1067.277,1925.159,0,0,0,0
47,0,0,0.461,-1066.756,1925.159,0,0,0,0
48,0,0,0.435,-1066.25,1925.169,0,0,0,0
49,0,0,0.438,-1065.649,1925.203,0,0,0,0
50,0,0,0.435,-1065.077,1925.219,0,0,0,0
51,0,0,0.43,-1064.473,1925.229,0,0,0,0
52,0,0,0.435,-1063.942,1925.268,0,0,0,0
53,0,0,0.419,-1063.36,1925.289,0,0,0,0
54,0,0,0.422,-1062.83,1925.302,0,0,0,0
55,0,0,0.419,-1062.246,1925.313,0,0,0,0
56,0,0,0.414,-1061.706,1925.348,0,0,0,0
57,0,0,0.41,-1061.179,1925.356,0,0,0,0
58,0,0,0.399,-1060.619,1925.378,0,0,0,0
59,0,0,0.41,-1060.086,1925.411,0,0,0,0
60,0,0,0.409,-1059.53,1925.43,0,0,0,0
61,0,0,0.41,-1059.003,1925.434,0,0,0,0
62,0,0,0.412,-1058.335,1925.471,0,0,0,0
63,0,0,0.424,-1057.807,1925.506,0,0,0,0
64,0,0,0.414,-1057.204,1925.523,0,0,0,0
65,0,0,0.405,-1056.657,1925.525,0,0,0,0
66,0,0,0.407,-1056.075,1925.543,0,0,0,0
67,0,0,0.402,-1055.539,1925.568,0,0,0,0
68,0,0,0.403,-1055.038,1925.591,0,0,0,0
69,0,0,0.382,-1054.484,1925.597,0,0,0,0
70,0,0,0.386,-1053.917,1925.631,0,0,0,0
71,0,0,0.368,-1053.317,1925.65,0,0,0,0
72,0,0,0.373,-1052.77,1925.666,0,0,0,0
73,0,0,0.365,-1052.204,1925.687,0,0,0,0
74,0,0,0.372,-1051.702,1925.694,0,0,0,0
75,0,0,0.366,-1051.117,1925.712,0,0,0,0
76,0,0,0.372,-1050.57,1925.744,0,0,0,0
77,0,0,0.359,-1050.02,1925.764,0,0,0,0
78,0,0,0.371,-1049.445,1925.785,0,0,0,0
79,0,0,0.37,-1048.954,1925.784,0,0,0,0
80,0,0,0.384,-1048.371,1925.829,0,0,0,0
81,0,0,0.384,-1047.752,1925.857,0,0,0,0
82,0,0,0.379,-1047.233,1925.868,0,0,0,0
83,0,0,0.389,-1046.714,1925.897,0,0,0,0
84,0,0,0.389,-1046.15,1925.903,0,0,0,0
85,0,0,0.388,-1045.603,1925.93,0,0,0,0
86,0,0,0.412,-1045.094,1925.971,0,0,0,0
87,0,0,0.412,-1044.51,1925.997,0,0,0,0
88,0,0,0.423,-1043.96,1926.024,0,0,0,0
89,0,0,0.416,-1043.391,1926.05,0,0,0,0
90,0,0,0.428,-1042.866,1926.059,0,0,0,0
91,0,0,0.433,-1042.281,1926.085,0,0,0,0
92,0,0,0.429,-1041.712,1926.111,0,0,0,0
93,0,0,0.419,-1041.171,1926.104,0,0,0,0
94,0,0,0.416,-1040.589,1926.134,0,0,0,0
95,0,0,0.424,-1040.026,1926.175,0,0,0,0
96,0,0,0.415,-1039.454,1926.175,0,0,0,0
97,0,0,0.412,-1038.934,1926.178,0,0,0,0
98,0,0,0.418,-1038.355,1926.22,0,0,0,0
99,0,0,0.425,-1037.785,1926.246,0,0,0,0
100,0,0,0.408,-1037.233,1926.237,0,0,0,0
101,0,0,0.412,-1036.709,1926.256,0,0,0,0
102,0,0,0.411,-1036.124,1926.289,0,0,0,0
103,0,0,0.412,-1035.55,1926.296,0,0,0,0
104,0,0,0.412,-1035.007,1926.291,0,0,0,0
105,0,0,0.418,-1034.461,1926.328,0,0,0,0
106,0,0,0.429,-1033.885,1926.358,0,0,0,0
107,0,0,0.418,-1033.335,1926.362,0,0,0,0
108,0,0,0.417,-1032.807,1926.369,0,0,0,0
109,0,0,0.429,-1032.226,1926.399,0,0,0,0
110,0,0,0.422,-1031.646,1926.419,0,0,0,0
111,0,0,0.433,-1031.079,1926.415,0,0,0,0
112,0,0,0.428,-1030.547,1926.445,0,0,0,0
113,0,0,0.429,-1029.973,1926.472,0,0,0,0
114,0,0,0.425,-1029.429,1926.479,0,0,0,0
115,0,0,0.435,-1028.877,1926.502,0,0,0,0
116,0,0,0.426,-1028.324,1926.528,0,0,0,0
117,0,0,0.419,-1027.757,1926.536,0,0,0,0
118,0,0,0.421,-1027.211,1926.57,0,0,0,0
119,0,0,0.417,-1026.679,1926.571,0,0,0,0
120,0,0,0.419,-1026.083,1926.596,0,0,0,0
121,0,0,0.418,-1025.54,1926.604,0,0,0,0
122,0,0,0.411,-1024.977,1926.619,0,0,0,0
123,0,0,0.416,-1024.438,1926.635,0,0,0,0
124,0,0,0.423,-1023.863,1926.66,0,0,0,0
125,0,0,0.41,-1023.3,1926.682,0,0,0,0
126,0,0,0.421,-1022.741,1926.702,0,0,0,0
127,0,0,0.406,-1022.194,1926.713,0,0,0,0
128,0,0,0.422,-1021.639,1926.739,0,0,0,0
